Provider State,DRG Definition,Provider Id,Average Total Payments,Average Covered Charges,Total Discharges,Average Medicare Payments
AK,638 - DIABETES W CC,1,11248.33,39254.25,12.0,6370.33
AK,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",1,10251.65,37962.65,26.0,9415.08
AK,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",3,7338.96,32142.516666666666,20.0,5655.186666666667
AK,657 - KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC,1,17497.13,86081.44,16.0,16423.31
AK,673 - OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,1,46364.36,204335.79,14.0,41923.93
AK,682 - RENAL FAILURE W MCC,4,18519.342500000002,66214.89,20.5,14607.512499999999
AK,683 - RENAL FAILURE W CC,6,11148.38,35724.845,27.0,9146.031666666666
AK,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,1,10174.64,47948.73,11.0,9698.91
AK,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,6,8229.438333333334,29690.130000000005,27.166666666666668,7161.391666666667
AK,698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,2,16441.725,45731.445,13.0,15605.154999999999
AK,708 - MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,1,13095.58,69801.08,12.0,9795.0
AK,812 - RED BLOOD CELL DISORDERS W/O MCC,3,7403.56,35890.736666666664,13.333333333333334,6077.436666666666
AK,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,3,51049.64666666667,183802.29,26.666666666666668,49263.200000000004
AK,854 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,1,21353.1,80194.86,21.0,18803.43
AK,870 - SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS,2,70600.67,259496.06,15.0,60970.25
AK,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,7,19631.855714285717,59344.05714285715,84.0,17995.168571428574
AK,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,7,11236.252857142856,37041.57571428572,35.0,10094.28
AK,881 - DEPRESSIVE NEUROSES,1,10446.09,31466.18,11.0,9529.64
AK,885 - PSYCHOSES,3,13646.366666666667,34090.2,54.333333333333336,12618.813333333334
AK,897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,2,7592.49,32736.96,13.5,5800.585
AK,907 - OTHER O.R. PROCEDURES FOR INJURIES W MCC,1,31619.45,99499.36,11.0,30641.64
AK,917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,1,12664.57,64830.09,23.0,11469.17
AK,918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,1,6700.1,42964.29,21.0,5573.86
AK,948 - SIGNS & SYMPTOMS W/O MCC,2,7922.155000000001,42954.91,19.5,6102.465
AK,981 - EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,1,50396.55,181794.27,11.0,44363.55
AL,001 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1,171081.18,1014783.45,11.0,141193.91
AL,"003 - ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",8,116423.98874999999,467259.60875,29.375,111225.11499999999
AL,"004 - TRACH W MV 96+ HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",14,64272.13142857142,389852.7071428571,19.357142857142858,59157.64571428572
AL,005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,1,72263.71,397247.18,17.0,69305.65
AL,"011 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W MCC",1,39370.19,212521.81,21.0,35833.24
AL,"012 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W CC",1,23149.5,124937.03,32.0,20574.0
AL,"013 - TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSES W/O CC/MCC",1,14704.87,102634.0,15.0,13469.93
AL,014 - ALLOGENEIC BONE MARROW TRANSPLANT,1,106592.21,571657.36,14.0,103894.43
AL,016 - AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,1,63937.29,275407.51,35.0,40946.83
AL,020 - INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,1,60367.91,261042.55,22.0,58870.09
AL,023 - CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,1,37028.68,162495.07,41.0,33717.2
AL,025 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,9,25682.073333333337,93003.2888888889,30.77777777777778,22811.85666666667
AL,026 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W CC,2,18181.33,76575.64499999999,28.5,16774.905
AL,027 - CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W/O CC/MCC,4,15201.525,92800.66500000001,34.0,13779.5525
AL,028 - SPINAL PROCEDURES W MCC,1,36738.5,157652.21,14.0,35109.64
AL,029 - SPINAL PROCEDURES W CC OR SPINAL NEUROSTIMULATORS,3,19184.873333333333,87153.61333333334,16.333333333333332,16705.783333333336
AL,032 - VENTRICULAR SHUNT PROCEDURES W CC,1,13242.58,46435.33,12.0,12071.58
AL,033 - VENTRICULAR SHUNT PROCEDURES W/O CC/MCC,2,10159.66,53020.72,17.0,8647.4
AL,036 - CAROTID ARTERY STENT PROCEDURE W/O CC/MCC,3,9957.76,83778.63666666667,20.666666666666668,8773.983333333334
AL,037 - EXTRACRANIAL PROCEDURES W MCC,3,20959.546666666665,93032.90666666668,11.0,18073.816666666666
AL,038 - EXTRACRANIAL PROCEDURES W CC,14,9275.032857142856,48843.775,18.142857142857142,7860.635
AL,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,22,6227.410454545455,38623.74954545455,38.68181818181818,4838.602727272726
AL,040 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W MCC,2,27518.575,85399.23999999999,12.5,20477.845
AL,041 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W CC OR PERIPH NEUROSTIM,1,12503.75,40816.33,12.0,11566.08
AL,042 - PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC W/O CC/MCC,1,10022.23,88484.92,13.0,9153.31
AL,054 - NERVOUS SYSTEM NEOPLASMS W MCC,5,8146.064000000001,37193.576,26.6,6680.114
AL,055 - NERVOUS SYSTEM NEOPLASMS W/O MCC,3,6259.23,27698.233333333334,14.0,4951.196666666667
AL,056 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,4,10368.259999999998,61095.605,15.75,9504.7275
AL,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,16,5788.144374999999,34085.2575,30.3125,4803.627499999999
AL,059 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W CC,1,13832.76,41189.35,17.0,5596.76
AL,060 - MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA W/O CC/MCC,1,12025.0,32200.18,11.0,4370.45
AL,062 - ACUTE ISCHEMIC STROKE W USE OF THROMBOLYTIC AGENT W CC,1,10996.71,33491.29,14.0,10286.14
AL,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,32,10566.0834375,55761.147812499985,44.09375,8884.17625
AL,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,47,6326.719148936171,33295.61255319149,50.4468085106383,5059.141063829788
AL,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,32,4727.0959375,27135.260625,32.46875,3321.105625
AL,068 - NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT W/O MCC,1,5419.79,36427.43,14.0,4013.36
AL,069 - TRANSIENT ISCHEMIA,37,4281.2305405405405,26336.2745945946,30.135135135135137,3099.7372972972967
AL,070 - NONSPECIFIC CEREBROVASCULAR DISORDERS W MCC,9,10122.59888888889,49297.35333333333,20.333333333333332,8856.051111111112
AL,071 - NONSPECIFIC CEREBROVASCULAR DISORDERS W CC,16,5947.594999999999,33434.003749999996,20.8125,4734.4825
AL,072 - NONSPECIFIC CEREBROVASCULAR DISORDERS W/O CC/MCC,1,4220.79,66373.79,14.0,3150.21
AL,073 - CRANIAL & PERIPHERAL NERVE DISORDERS W MCC,5,8192.804,27443.47,12.8,6539.488
AL,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,19,5575.6726315789465,30230.687368421055,23.63157894736842,4200.61947368421
AL,"082 - TRAUMATIC STUPOR & COMA, COMA >1 HR W MCC",3,11818.173333333334,62547.693333333336,11.666666666666666,10654.863333333333
AL,"083 - TRAUMATIC STUPOR & COMA, COMA >1 HR W CC",2,8327.904999999999,35579.009999999995,11.5,7119.530000000001
AL,"085 - TRAUMATIC STUPOR & COMA, COMA <1 HR W MCC",4,11800.4325,47155.375,19.5,10594.23
AL,"086 - TRAUMATIC STUPOR & COMA, COMA <1 HR W CC",11,6850.643636363637,28679.99727272727,21.727272727272727,5594.718181818182
AL,"087 - TRAUMATIC STUPOR & COMA, COMA <1 HR W/O CC/MCC",4,4677.5425,24391.7225,22.0,3510.3775
AL,091 - OTHER DISORDERS OF NERVOUS SYSTEM W MCC,8,9394.27,42650.253749999996,16.625,8283.94625
AL,092 - OTHER DISORDERS OF NERVOUS SYSTEM W CC,10,5361.485999999999,25801.190000000002,18.0,4460.304999999999
AL,093 - OTHER DISORDERS OF NERVOUS SYSTEM W/O CC/MCC,3,4692.586666666667,44561.41333333333,20.0,3299.8199999999997
AL,100 - SEIZURES W MCC,14,9173.135,45876.36571428571,21.285714285714285,8013.327142857143
AL,101 - SEIZURES W/O MCC,29,4789.660689655173,24777.190344827588,29.896551724137932,3708.729310344828
AL,103 - HEADACHES W/O MCC,8,4902.02375,22692.827500000003,16.25,3438.1324999999997
AL,115 - EXTRAOCULAR PROCEDURES EXCEPT ORBIT,1,10373.69,31023.69,13.0,8139.31
AL,129 - MAJOR HEAD & NECK PROCEDURES W CC/MCC OR MAJOR DEVICE,1,16775.77,76922.87,30.0,14856.67
AL,130 - MAJOR HEAD & NECK PROCEDURES W/O CC/MCC,1,10344.18,46727.65,17.0,6989.41
AL,131 - CRANIAL/FACIAL PROCEDURES W CC/MCC,1,19839.93,78671.8,15.0,11952.73
AL,"133 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W CC/MCC",1,16002.83,79042.09,47.0,13270.68
AL,"134 - OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES W/O CC/MCC",1,7949.31,44973.31,35.0,6150.46
AL,149 - DYSEQUILIBRIUM,5,4075.4120000000003,34021.10600000001,19.4,2892.0559999999996
AL,152 - OTITIS MEDIA & URI W MCC,2,6297.530000000001,28157.864999999998,20.5,5280.225
AL,153 - OTITIS MEDIA & URI W/O MCC,16,4371.753125,17194.156875,19.8125,3129.8049999999994
AL,"155 - OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES W CC",1,6983.08,14604.83,12.0,3335.42
AL,163 - MAJOR CHEST PROCEDURES W MCC,7,29000.021428571432,140783.68428571426,19.571428571428573,25943.574285714283
AL,164 - MAJOR CHEST PROCEDURES W CC,8,14361.62375,54927.49875,29.5,12712.97375
AL,165 - MAJOR CHEST PROCEDURES W/O CC/MCC,3,11895.04,70772.83333333333,33.666666666666664,9626.906666666668
AL,166 - OTHER RESP SYSTEM O.R. PROCEDURES W MCC,14,20674.73214285714,104337.62642857143,21.571428571428573,18517.690714285716
AL,167 - OTHER RESP SYSTEM O.R. PROCEDURES W CC,7,11996.665714285715,51462.55285714286,21.857142857142858,9821.605714285715
AL,168 - OTHER RESP SYSTEM O.R. PROCEDURES W/O CC/MCC,1,9691.0,43007.88,17.0,8635.24
AL,175 - PULMONARY EMBOLISM W MCC,12,8790.536666666667,49235.91,18.666666666666668,7623.27
AL,176 - PULMONARY EMBOLISM W/O MCC,26,5848.2688461538455,27668.73153846154,22.73076923076923,4470.327692307693
AL,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,32,10972.7125,59532.5734375,39.5625,9705.146250000002
AL,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,30,8008.967333333335,39351.55633333333,22.333333333333332,6717.082
AL,179 - RESPIRATORY INFECTIONS & INFLAMMATIONS W/O CC/MCC,3,5728.306666666667,24148.64,13.0,4866.153333333334
AL,180 - RESPIRATORY NEOPLASMS W MCC,16,9817.470624999998,51388.124375,19.125,8427.059999999998
AL,181 - RESPIRATORY NEOPLASMS W CC,7,6692.88,37169.87285714286,17.714285714285715,5716.055714285714
AL,183 - MAJOR CHEST TRAUMA W MCC,1,9638.83,70774.0,12.0,7260.0
AL,184 - MAJOR CHEST TRAUMA W CC,2,7037.675,35036.475,12.5,5458.635
AL,186 - PLEURAL EFFUSION W MCC,4,10254.845000000001,42030.135,17.75,8993.4475
AL,187 - PLEURAL EFFUSION W CC,2,7341.835,26279.365,14.5,5426.139999999999
AL,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,45,7150.9044444444435,36330.92066666667,56.46666666666667,5985.213111111112
AL,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,60,6739.215000000002,29223.605999999992,60.4,5573.262333333334
AL,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,61,5646.4596721311445,24744.456065573773,47.80327868852459,4485.923114754099
AL,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,67,4461.514477611939,18116.322686567164,30.17910447761194,3326.6277611940304
AL,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,52,8240.380576923078,42056.56019230769,58.40384615384615,7086.46307692308
AL,194 - SIMPLE PNEUMONIA & PLEURISY W CC,75,5886.167733333335,24491.843466666673,53.22666666666667,4640.725733333332
AL,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,63,4351.4634920634935,18987.660952380957,25.634920634920636,3124.1033333333335
AL,196 - INTERSTITIAL LUNG DISEASE W MCC,2,12652.925,45280.729999999996,14.0,8645.915
AL,197 - INTERSTITIAL LUNG DISEASE W CC,1,12168.58,23085.58,12.0,5607.67
AL,199 - PNEUMOTHORAX W MCC,1,11207.47,82388.47,15.0,9577.73
AL,200 - PNEUMOTHORAX W CC,1,6199.35,30145.47,17.0,5431.47
AL,202 - BRONCHITIS & ASTHMA W CC/MCC,31,5515.5993548387105,24663.99387096774,26.322580645161292,3950.419677419356
AL,203 - BRONCHITIS & ASTHMA W/O CC/MCC,23,4360.686086956522,18598.927826086954,15.521739130434783,2802.2947826086956
AL,204 - RESPIRATORY SIGNS & SYMPTOMS,10,4720.406,26330.469000000005,16.2,3416.6299999999997
AL,205 - OTHER RESPIRATORY SYSTEM DIAGNOSES W MCC,2,11701.935,62271.595,30.0,8281.585000000001
AL,206 - OTHER RESPIRATORY SYSTEM DIAGNOSES W/O MCC,8,5374.10375,25597.127500000002,15.75,3875.90125
AL,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,22,29955.013636363637,157723.40181818182,21.545454545454547,27508.580909090917
AL,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,40,12972.56275,68571.50600000001,30.025,11930.598750000001
AL,216 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,6,51810.57666666667,210831.22166666668,15.666666666666666,49053.36000000001
AL,217 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W CC,1,32177.79,103833.86,14.0,31020.36
AL,219 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,9,41633.62444444445,176771.41999999998,31.666666666666668,39060.24444444445
AL,220 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W CC,11,27911.155454545453,119402.47818181818,28.272727272727273,24934.34
AL,221 - CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W/O CC/MCC,3,25324.793333333335,197485.93666666668,12.0,22372.846666666668
AL,226 - CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W MCC,1,39034.37,242524.16,19.0,38572.42
AL,227 - CARDIAC DEFIBRILLATOR IMPLANT W/O CARDIAC CATH W/O MCC,2,31582.5,178808.65000000002,13.0,29533.345
AL,229 - OTHER CARDIOTHORACIC PROCEDURES W CC,1,25408.33,181844.25,12.0,24369.42
AL,233 - CORONARY BYPASS W CARDIAC CATH W MCC,15,39554.753333333334,241575.95599999998,20.866666666666667,36309.186
AL,234 - CORONARY BYPASS W CARDIAC CATH W/O MCC,20,25916.254,150127.9485,25.65,22746.264499999997
AL,235 - CORONARY BYPASS W/O CARDIAC CATH W MCC,3,31557.199999999997,140065.41,39.666666666666664,29037.093333333334
AL,236 - CORONARY BYPASS W/O CARDIAC CATH W/O MCC,14,20199.007857142857,104472.0642857143,31.071428571428573,17785.567142857144
