Provider State,DRG Definition,Provider Id,Average Total Payments,Average Covered Charges,Average Medicare Payments,Total Discharges
AK,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,6,8750.541667,20270.645,7675.638333,29.33333333
AK,699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,1,9048.08,38586.92,7991.46,13
AK,812 - RED BLOOD CELL DISORDERS W/O MCC,2,7502.115,27044.595,6482.54,17
AK,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,3,60559.01,210925.4733,57207.69667,19.66666667
AK,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,6,20732.19167,60676.16833,19163.45,62.66666667
AK,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,6,11391.89333,33625.34,10249.44833,30.66666667
AK,885 - PSYCHOSES,2,12929.285,42461.83,11526.25,64
AK,897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,2,7503.24,31624.47,6479.96,16.5
AK,917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,1,15649.09,70149.14,13851.27,22
AK,918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,1,9484.77,55162,7878.91,22
AK,948 - SIGNS & SYMPTOMS W/O MCC,2,6982.38,34374.085,5633.75,22.5
AL,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,23,5914.771739,37712.03,4652.736087,36.65217391
AL,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,19,5654.930526,26961.13158,4537.741579,22.63157895
AL,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,33,11044.51667,49328.82939,9602.835758,40.18181818
AL,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,47,6454.179574,28712.30766,5274.414681,48.93617021
AL,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,37,4627.065946,22726.1027,3478.717027,33.10810811
AL,069 - TRANSIENT ISCHEMIA,40,4313.3555,22145.2895,3159.531,29.45
AL,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,17,5464.897647,28866.40529,4142.177059,24.64705882
AL,100 - SEIZURES W MCC,12,10078.98,47162.82417,8515.155,19.91666667
AL,101 - SEIZURES W/O MCC,29,4624.680345,23452.71414,3452.606207,28.89655172
AL,176 - PULMONARY EMBOLISM W/O MCC,30,6071.110667,29053.582,4740.882,22
AL,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,37,12075.34405,53454.37162,10560.14081,36.13513514
AL,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,38,8431.791842,36491.76026,7102.556842,22.92105263
AL,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,45,7265.880889,35279.49978,6175.236444,50.53333333
AL,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,66,6801.03197,27443.33591,5716.950909,59.56060606
AL,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,67,5506.349104,22118.66179,4448.58806,48.41791045
AL,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,73,4276.436438,16933.12027,3076.418767,36.57534247
AL,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,61,8781.651803,37408.54836,7468.736721,52.49180328
AL,194 - SIMPLE PNEUMONIA & PLEURISY W CC,77,5888.448052,23025.19948,4733.28,56.41558442
AL,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,68,4265.921765,18232.11662,3015.346176,29.14705882
AL,202 - BRONCHITIS & ASTHMA W CC/MCC,35,5364.997429,22657.78314,3924.742857,26.82857143
AL,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,24,32303.44042,165075.4083,30505.655,25.33333333
AL,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,36,13435.16556,67519.19611,12229.64444,34.30555556
AL,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,23,18229.45652,85864.26261,16606.01565,35.13043478
AL,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,17,15263.49588,64954.84824,13838.25294,22.17647059
AL,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,15,11375.14533,55943.48933,10102.09733,22.66666667
AL,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,20,18966.806,101116.507,17107.9505,30.45
AL,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,27,11524.90222,80895.75963,9841.089259,66
AL,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,15,11648.44,62399.96133,9754.336667,21.86666667
AL,252 - OTHER VASCULAR PROCEDURES W MCC,18,18434.79056,73318.13278,17143.20889,30.38888889
AL,253 - OTHER VASCULAR PROCEDURES W CC,22,14586.47455,74862.51182,13030.17136,31.95454545
AL,254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,18,9700.051111,49029.65056,8402.240556,31.27777778
AL,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",33,10314.32424,50714.74303,9103.210909,32.78787879
AL,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",27,6272.722222,34515.71037,5040.620741,24.44444444
AL,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",20,4574.8605,26615.203,3357.947,18.1
AL,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",19,13007.13474,58824.96158,11536.01,31.21052632
AL,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",33,6364.323333,36410.37879,4869.843333,64.24242424
AL,291 - HEART FAILURE & SHOCK W MCC,59,8681.929661,35641.79797,7782.285593,66.88135593
AL,292 - HEART FAILURE & SHOCK W CC,66,5757.910758,21547.23197,4744.13303,61.59090909
AL,293 - HEART FAILURE & SHOCK W/O CC/MCC,49,3895.407755,16243.3549,2989.961633,30.24489796
AL,300 - PERIPHERAL VASCULAR DISORDERS W CC,29,5676.997241,23799.2731,4579.038966,21.75862069
AL,303 - ATHEROSCLEROSIS W/O MCC,15,3547.246,17906.45133,2443.903333,15.33333333
AL,305 - HYPERTENSION W/O MCC,19,3650.737368,18729.86474,2452.117368,21.47368421
AL,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,37,7317.198919,35409.11892,6261.240811,33.37837838
AL,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,46,4669.866087,21103.33283,3596.218696,39.15217391
AL,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,46,3300.420652,14532.27565,2070.533478,45.02173913
AL,312 - SYNCOPE & COLLAPSE,42,4380.219048,21300.07286,3159.77,34.76190476
AL,313 - CHEST PAIN,34,3374.318235,19894.32088,2254.150588,28.82352941
AL,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,25,11600.5868,54983.0808,10159.328,25.72
AL,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,15,5806.141333,24247.874,4490.554667,19
AL,329 - MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,31,31163.95871,138268.1632,28880.12387,24.09677419
AL,330 - MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,36,15355.44056,73239.65472,13072.68,29.33333333
AL,331 - MAJOR SMALL & LARGE BOWEL PROCEDURES W/O CC/MCC,17,9512.361765,51273.07353,7744.784706,22.23529412
AL,372 - MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC,24,7308.82625,29997.19958,6171.532917,17.95833333
AL,377 - G.I. HEMORRHAGE W MCC,30,10464.95533,45279.01967,9307.082667,29.46666667
AL,378 - G.I. HEMORRHAGE W CC,54,5862.577593,25407.43241,4789.049074,52.81481481
AL,379 - G.I. HEMORRHAGE W/O CC/MCC,31,4025.603226,19650.55194,3020.344194,17.32258065
AL,389 - G.I. OBSTRUCTION W CC,34,5512.633824,27363.60088,4147.332059,25.11764706
AL,390 - G.I. OBSTRUCTION W/O CC/MCC,29,3816.251379,20067.46966,2529.305862,19
AL,"391 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC",30,7305.129,36645.70967,6043.75,23.83333333
AL,"392 - ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",73,4456.888904,18878.62425,3238.841781,61.47945205
AL,394 - OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,33,5733.173939,30441.58061,4611.859091,23.72727273
AL,418 - LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,20,9735.2955,53928.6435,8164.0995,20.55
AL,439 - DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,21,6195.301905,26411.87524,4414.011429,18.66666667
AL,460 - SPINAL FUSION EXCEPT CERVICAL W/O MCC,22,21435.42,79755.18818,19291.66,77.13636364
AL,467 - REVISION OF HIP OR KNEE REPLACEMENT W CC,14,18081.48786,78793.15714,16386.73857,30.35714286
AL,469 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC,22,18281.30864,78279.93273,16484.25,19.77272727
AL,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,46,11813.02826,56306.58435,10035.2763,199.3695652
AL,473 - CERVICAL SPINAL FUSION W/O CC/MCC,21,11954.15857,44076.74524,10420.04857,47.66666667
AL,480 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,18,17475.11222,66220.65222,16251.87833,19.83333333
AL,481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,38,10815.02684,47274.11842,9616.630263,43.34210526
AL,482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,23,8818.756087,39310.90696,7436.293913,16.7826087
AL,484 - MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY W/O CC/MCC,15,11573.62533,60002.25533,9553.828,21.73333333
AL,491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,14,6173.958571,37381.29714,4393.642143,27.78571429
AL,536 - FRACTURES OF HIP & PELVIS W/O MCC,17,4021.759412,17010.93471,2869.362941,16.82352941
AL,552 - MEDICAL BACK PROBLEMS W/O MCC,22,4909.878182,28310.01773,3654.908182,23.81818182
AL,"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC",10,4522.721,19999.317,3263.877,14.8
AL,602 - CELLULITIS W MCC,16,9245.383125,34126.30938,7460.57875,18.125
AL,603 - CELLULITIS W/O MCC,67,5053.547313,17453.23284,3726.261791,39.28358209
AL,637 - DIABETES W MCC,14,9285.076429,37331.82571,7790.077143,21.57142857
AL,638 - DIABETES W CC,37,4833.466216,21165.01405,3664.920811,28.27027027
AL,"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC",33,6705.914545,30477.02273,5607.140606,31.09090909
AL,"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC",69,4070.391304,16015.0171,3027.47087,40.88405797
AL,682 - RENAL FAILURE W MCC,40,9186.3,38204.40275,8182.68075,49.65
AL,683 - RENAL FAILURE W CC,52,5929.076538,24062.33327,4780.452885,53.26923077
AL,684 - RENAL FAILURE W/O CC/MCC,23,3856.13,18949.74478,2579.10087,17.34782609
AL,689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,38,6668.784211,30884.80211,5715.951053,33.60526316
AL,690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,76,4605.831974,16871.69816,3561.077237,53.09210526
AL,698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,12,9589.6375,40967.72167,8360.731667,35
AL,699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,11,6086.878182,30576.06636,4918.087273,32.45454545
AL,811 - RED BLOOD CELL DISORDERS W MCC,28,7653.509643,33260.08714,6482.453214,19.32142857
AL,812 - RED BLOOD CELL DISORDERS W/O MCC,59,4694.64339,18834.64932,3684.099661,37.08474576
AL,853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,26,31827.21538,149303.2038,29790.64423,30.69230769
AL,870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,15,35477.676,164709.4593,33597.85533,21.93333333
AL,871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,61,11053.13426,46046.44984,9901.478689,94
AL,872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,58,6468.725517,26554.72224,5281.573103,32.77586207
AL,885 - PSYCHOSES,16,5780.059375,19313.72875,4688.415625,121.875
AL,897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,18,4052.086111,16515.99,2953.562778,41.38888889
AL,917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,22,9091.644091,39465.28727,7710.623636,21.27272727
AL,918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,28,3922.8925,17418.04714,2650.652143,24.32142857
AL,948 - SIGNS & SYMPTOMS W/O MCC,45,4048.285556,16821.58089,3151.804,20.37777778
AR,039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,16,6107.35375,27814.53063,4796.263125,36.625
AR,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,11,5771.56,18044.28364,4807.099091,19.72727273
AR,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,20,10641.8465,31094.5255,9584.92,40.8
AR,065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,28,6577.366786,21669.38429,5485.464643,46.64285714
AR,066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,23,4802.370435,17809.59348,3674.894783,31.91304348
AR,069 - TRANSIENT ISCHEMIA,21,4394.804762,16035.29143,3309.694286,38.71428571
AR,074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,7,5494.448571,16448.68,4358.375714,19.71428571
AR,100 - SEIZURES W MCC,6,10186.15,29263.34667,8849.69,18.66666667
AR,101 - SEIZURES W/O MCC,14,4620.487143,17570.72286,3487.504286,23.85714286
AR,176 - PULMONARY EMBOLISM W/O MCC,16,6076.985625,19299.785,4934.65375,20.9375
AR,177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,23,11775.11348,35879.90609,10809.22696,35.13043478
AR,178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,23,8231.197826,26172.97478,7301.947391,24.73913043
AR,189 - PULMONARY EDEMA & RESPIRATORY FAILURE,27,7448.824815,26015.29704,6577.366667,58.22222222
AR,190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,39,6975.876667,22258.05231,5987.505385,53.30769231
AR,191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,37,5684.588108,19760.15676,4770.071892,42.89189189
AR,192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,38,4363.162105,14185.92368,3234.926316,37.10526316
AR,193 - SIMPLE PNEUMONIA & PLEURISY W MCC,34,8739.073824,28488.08147,7816.049412,59.29411765
AR,194 - SIMPLE PNEUMONIA & PLEURISY W CC,43,5972.485349,21009.02,4931.591163,63.09302326
AR,195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,37,4302.267838,15294.00973,3162.708919,35.97297297
AR,202 - BRONCHITIS & ASTHMA W CC/MCC,19,5240.148421,17664.50895,4135.547368,17.15789474
AR,207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,15,33641.36533,107159.048,31391.63333,19.73333333
AR,208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,25,13918.0768,50080.1384,12708.0884,35
AR,238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,18,19283.84722,72889.23611,17733.65056,24.94444444
AR,243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,13,15550.24538,65399.61154,14266.83308,22.53846154
AR,244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,8,12673.46375,53209.655,10512.5225,25.375
AR,246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,17,18839.47118,84957.64353,17254.56294,27.94117647
AR,247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,23,12186.60261,59226.17696,10292.14391,101.6086957
AR,251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,11,12539.17727,62377.13,10473.21727,41.72727273
AR,252 - OTHER VASCULAR PROCEDURES W MCC,13,21372.79462,80827.24769,19629.80462,22.30769231
AR,253 - OTHER VASCULAR PROCEDURES W CC,15,15528.82067,62971.85133,14335.87,31.26666667
AR,254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,13,10296.73231,55372.96154,8643.345385,42.76923077
AR,"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",21,10515.91524,35378.71238,9367.258095,29.04761905
AR,"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",20,6272.58,24470.547,5227.277,22.8
AR,"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",10,4427.403,19729.519,3309.301,18.6
AR,"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",12,12799.95333,39400.11083,11195.36667,24
AR,"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",25,6683.5816,28781.722,5116.322,71.76
AR,291 - HEART FAILURE & SHOCK W MCC,36,8873.341389,28776.36306,8089.917778,58
AR,292 - HEART FAILURE & SHOCK W CC,39,5937.679231,18023.16385,5123.43,59.17948718
AR,293 - HEART FAILURE & SHOCK W/O CC/MCC,36,4055.914722,13425.30917,3223.849722,31.19444444
AR,300 - PERIPHERAL VASCULAR DISORDERS W CC,16,5862.123125,19603.49375,4814.531875,16.875
AR,303 - ATHEROSCLEROSIS W/O MCC,13,3350.864615,18106.40077,2401.262308,20.38461538
AR,305 - HYPERTENSION W/O MCC,14,3754.757143,12314.19571,2669.687143,20.57142857
AR,308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,21,7555.210952,27268.0981,6582.790952,35.38095238
AR,309 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC,27,4788.592222,17088.01333,3821.424444,45.77777778
AR,310 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC,31,3355.163871,11910.55484,2298.484194,48.70967742
AR,312 - SYNCOPE & COLLAPSE,23,4544.204348,17081.04957,3495.440435,40.43478261
AR,313 - CHEST PAIN,24,3319.08875,13275.97625,2301.08,36.20833333
AR,314 - OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,19,11422.63474,37672.97526,10197.23526,26.63157895
AR,315 - OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,14,5646.936429,20043.065,4714.336429,15.78571429
