"Hospital.Name","Provider.ID","Address","City","State","ZIP.Code","Full","lon","lat"
"JEWISH HOSPITAL & ST MARY'S HEALTHCARE",180040,"200 ABRAHAM FLEXNER WAY","LOUISVILLE","KY",40202,"200 ABRAHAM FLEXNER WAY, LOUISVILLE, KY, 40202, USA",-85.749039,38.249106
"UNIVERSITY OF KENTUCKY HOSPITAL",180067,"800 ROSE STREET","LEXINGTON","KY",40536,"800 ROSE STREET, LEXINGTON, KY, 40536, USA",-84.506716,38.032914
"UNIVERSITY OF MARYLAND MEDICAL CENTER",210002,"22 SOUTH  GREENE STREET","BALTIMORE","MD",21201,"22 SOUTH  GREENE STREET, BALTIMORE, MD, 21201, USA",-76.623782,39.289441
"MASSACHUSETTS GENERAL HOSPITAL",220071,"55 FRUIT STREET","BOSTON","MA",2114,"55 FRUIT STREET, BOSTON, MA, 2114, USA",-71.069772,42.362505
"BRIGHAM AND WOMEN'S HOSPITAL",220110,"75 FRANCIS STREET","BOSTON","MA",2115,"75 FRANCIS STREET, BOSTON, MA, 2115, USA",-71.105698,42.334963
"TUFTS MEDICAL CENTER",220116,"800 WASHINGTON STREET","BOSTON","MA",2111,"800 WASHINGTON STREET, BOSTON, MA, 2111, USA",-73.086513,42.333258
"SPECTRUM HEALTH - BUTTERWORTH CAMPUS",230038,"100 MICHIGAN ST NE","GRAND RAPIDS","MI",49503,"100 MICHIGAN ST NE, GRAND RAPIDS, MI, 49503, USA",-85.665027,42.970523
"UNIVERSITY OF MICHIGAN HEALTH SYSTEM",230046,"1500 E MEDICAL CENTER DRIVE, SPC 5474","ANN ARBOR","MI",48109,"1500 E MEDICAL CENTER DRIVE, SPC 5474, ANN ARBOR, MI, 48109, USA",-83.726757,42.281478
"HENRY FORD HOSPITAL",230053,"2799 W GRAND BLVD","DETROIT","MI",48202,"2799 W GRAND BLVD, DETROIT, MI, 48202, USA",-83.083663,42.3667
"MAYO CLINIC HOSPITAL ROCHESTER",240010,"1216 SECOND STREET SOUTHWEST","ROCHESTER","MN",55902,"1216 SECOND STREET SOUTHWEST, ROCHESTER, MN, 55902, USA",-92.481521,44.021554
"ABBOTT NORTHWESTERN HOSPITAL",240057,"800 EAST 28TH STREET","MINNEAPOLIS","MN",55407,"800 EAST 28TH STREET, MINNEAPOLIS, MN, 55407, USA",-93.262611,44.951943
"UNIVERSITY OF MINNESOTA  MEDICAL CENTER, FAIRVIEW",240080,"2450 RIVERSIDE AVENUE","MINNEAPOLIS","MN",55454,"2450 RIVERSIDE AVENUE, MINNEAPOLIS, MN, 55454, USA",-93.236942,44.9659
"BARNES JEWISH HOSPITAL",260032,"ONE BARNES-JEWISH HOSPITAL PLAZA","SAINT LOUIS","MO",63110,"ONE BARNES-JEWISH HOSPITAL PLAZA, SAINT LOUIS, MO, 63110, USA",-90.499403,38.679184
"ST LUKES HOSPITAL OF KANSAS CITY",260138,"4401 WORNALL ROAD","KANSAS CITY","MO",64111,"4401 WORNALL ROAD, KANSAS CITY, MO, 64111, USA",-94.590136,39.046514
"THE NEBRASKA MEDICAL CENTER",280013,"987400 NEBRASKA MEDICAL CENTER","OMAHA","NE",68198,"987400 NEBRASKA MEDICAL CENTER, OMAHA, NE, 68198, USA",-96.171358,41.314842
"NEWARK BETH ISRAEL MEDICAL CENTER",310002,"201 LYONS AVE","NEWARK","NJ",7112,"201 LYONS AVE, NEWARK, NJ, 7112, USA",-74.21326,40.710055
"MOUNT SINAI HOSPITAL",330024,"ONE GUSTAVE L LEVY PLACE","NEW YORK","NY",10029,"ONE GUSTAVE L LEVY PLACE, NEW YORK, NY, 10029, USA",-73.953888,40.790471
"MONTEFIORE MEDICAL CENTER",330059,"111 EAST 210TH STREET","BRONX","NY",10467,"111 EAST 210TH STREET, BRONX, NY, 10467, USA",-73.880713,40.879991
"NEW YORK-PRESBYTERIAN HOSPITAL",330101,"525 EAST 68TH STREET","NEW YORK","NY",10065,"525 EAST 68TH STREET, NEW YORK, NY, 10065, USA",-73.955134,40.764111
"WESTCHESTER MEDICAL CENTER",330234,"100 WOODS RD","VALHALLA","NY",10595,"100 WOODS RD, VALHALLA, NY, 10595, USA",-73.803666,41.086855
"STRONG MEMORIAL HOSPITAL",330285,"601 ELMWOOD AVE","ROCHESTER","NY",14642,"601 ELMWOOD AVE, ROCHESTER, NY, 14642, USA",-77.62343,43.124397
"DUKE UNIVERSITY HOSPITAL",340030,"PO BOX 3814 DUMC  ERWIN RD","DURHAM","NC",27710,"PO BOX 3814 DUMC  ERWIN RD, DURHAM, NC, 27710, USA",-78.857651,36.051155
"UNIVERSITY OF NORTH CAROLINA HOSPITAL",340061,"101 MANNING DRIVE","CHAPEL HILL","NC",27514,"101 MANNING DRIVE, CHAPEL HILL, NC, 27514, USA",-79.044342,35.903692
"CAROLINAS MEDICAL CENTER/BEHAV HEALTH",340113,"1000 BLYTHE BLVD","CHARLOTTE","NC",28203,"1000 BLYTHE BLVD, CHARLOTTE, NC, 28203, USA",-80.838388,35.204556
"OHIO STATE UNIVERSITY HOSPITALS",360085,"410 WEST 10TH AVENUE","COLUMBUS","OH",43210,"410 WEST 10TH AVENUE, COLUMBUS, OH, 43210, USA",-83.015859,39.994478
"CHRIST HOSPITAL",360163,"2139 AUBURN AVENUE","CINCINNATI","OH",45219,"2139 AUBURN AVENUE, CINCINNATI, OH, 45219, USA",-84.508522,39.120897
"CLEVELAND CLINIC",360180,"9500 EUCLID AVENUE","CLEVELAND","OH",44195,"9500 EUCLID AVENUE, CLEVELAND, OH, 44195, USA",-81.620693,41.503521
"INTEGRIS BAPTIST MEDICAL CENTER, INC",370028,"3300 NORTHWEST EXPRESSWAY","OKLAHOMA CITY","OK",73112,"3300 NORTHWEST EXPRESSWAY, OKLAHOMA CITY, OK, 73112, USA",-97.568353,35.527397
"OHSU HOSPITAL AND CLINICS",380009,"3181 SW SAM JACKSON PARK ROAD","PORTLAND","OR",97239,"3181 SW SAM JACKSON PARK ROAD, PORTLAND, OR, 97239, USA",-122.688076,45.499288
"TEMPLE UNIVERSITY HOSPITAL",390027,"3401 NORTH BROAD STREET","PHILADELPHIA","PA",19140,"3401 NORTH BROAD STREET, PHILADELPHIA, PA, 19140, USA",-75.152236,40.004689
"HOSPITAL OF UNIV OF PENNSYLVANIA",390111,"34TH & SPRUCE STS","PHILADELPHIA","PA",19104,"34TH & SPRUCE STS, PHILADELPHIA, PA, 19104, USA",-75.19668,39.960912
"MILTON S HERSHEY MEDICAL CENTER",390256,"500 UNIVERSITY DRIVE","HERSHEY","PA",17033,"500 UNIVERSITY DRIVE, HERSHEY, PA, 17033, USA",-76.675745,40.273179
"PALMETTO HEALTH RICHLAND",420018,"5 RICHLAND MEDICAL PARK","COLUMBIA","SC",29203,"5 RICHLAND MEDICAL PARK, COLUMBIA, SC, 29203, USA",-81.030216,34.027446
"VANDERBILT UNIVERSITY MEDICAL CENTER",440039,"1211 MEDICAL CENTER DRIVE","NASHVILLE","TN",37232,"1211 MEDICAL CENTER DRIVE, NASHVILLE, TN, 37232, USA",-86.801485,36.140845
"BAPTIST MEMORIAL HOSPITAL",440048,"6019 WALNUT GROVE ROAD","MEMPHIS","TN",38120,"6019 WALNUT GROVE ROAD, MEMPHIS, TN, 38120, USA",-89.856973,35.131469
"SAINT THOMAS WEST HOSPITAL",440082,"4220 HARDING RD, PO BOX 380","NASHVILLE","TN",37205,"4220 HARDING RD, PO BOX 380, NASHVILLE, TN, 37205, USA",-86.865776,36.108558
"BAYLOR UNIVERSITY MEDICAL CENTER",450021,"3500 GASTON AVE","DALLAS","TX",75246,"3500 GASTON AVE, DALLAS, TX, 75246, USA",-96.781093,32.790451
"UT SOUTHWESTERN UNIVERSITY HOSPITAL",450044,"6201 HARRY HINES BLVD","DALLAS","TX",75390,"6201 HARRY HINES BLVD, DALLAS, TX, 75390, USA",-96.84065,32.814164
"MEMORIAL HERMANN TEXAS MEDICAL CENTER",450068,"6411 FANNIN","HOUSTON","TX",77030,"6411 FANNIN, HOUSTON, TX, 77030, USA",-95.397801,29.713601
"CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME",450193,"6720 BERTNER","HOUSTON","TX",77030,"6720 BERTNER, HOUSTON, TX, 77030, USA",-95.399077,29.707315
"HOUSTON METHODIST HOSPITAL",450358,"6565 FANNIN","HOUSTON","TX",77030,"6565 FANNIN, HOUSTON, TX, 77030, USA",-95.39997,29.710873
"METHODIST HOSPITAL",450388,"7700 FLOYD CURL DR","SAN ANTONIO","TX",78229,"7700 FLOYD CURL DR, SAN ANTONIO, TX, 78229, USA",-98.573834,29.509023
"UNIVERSITY HEALTH CARE/UNIV HOSPITALS AND CLINICS",460009,"50 NORTH MEDICAL DRIVE","SALT LAKE CITY","UT",84132,"50 NORTH MEDICAL DRIVE, SALT LAKE CITY, UT, 84132, USA",-111.838858,40.77278
"SENTARA NORFOLK GENERAL HOSPITAL",490007,"600 GRESHAM DR","NORFOLK","VA",23507,"600 GRESHAM DR, NORFOLK, VA, 23507, USA",-76.304433,36.863973
"UNIVERSITY OF VIRGINIA MEDICAL CENTER",490009,"JEFFERSON PARK AVE","CHARLOTTESVILLE","VA",22908,"JEFFERSON PARK AVE, CHARLOTTESVILLE, VA, 22908, USA",-78.49779,38.033254
"MEDICAL COLLEGE OF VIRGINIA HOSPITALS",490032,"1250 EAST MARSHALL STREET - BOX 980510","RICHMOND","VA",23298,"1250 EAST MARSHALL STREET - BOX 980510, RICHMOND, VA, 23298, USA",-77.431555,37.540646
"INOVA FAIRFAX HOSPITAL",490063,"3300 GALLOWS ROAD","FALLS CHURCH","VA",22042,"3300 GALLOWS ROAD, FALLS CHURCH, VA, 22042, USA",-77.226059,38.858922
"UNIVERSITY OF WASHINGTON MEDICAL CTR",500008,"1959 NE PACIFIC ST  BOX 356151","SEATTLE","WA",98195,"1959 NE PACIFIC ST  BOX 356151, SEATTLE, WA, 98195, USA",-122.308282,47.648763
"PROVIDENCE SACRED HEART MEDICAL CENTER",500054,"101 WEST 8TH AVENUE","SPOKANE","WA",99204,"101 WEST 8TH AVENUE, SPOKANE, WA, 99204, USA",-117.413771,47.648306
"AURORA ST LUKES MEDICAL CENTER",520138,"2900 W OKLAHOMA AVE","MILWAUKEE","WI",53215,"2900 W OKLAHOMA AVE, MILWAUKEE, WI, 53215, USA",-87.950694,42.98854
"SOUTHEAST ALABAMA MEDICAL CENTER",10001,"1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301,"1108 ROSS CLARK CIRCLE, DOTHAN, AL, 36301, USA",-85.361486,31.215446
"ELIZA COFFEE MEMORIAL HOSPITAL",10006,"205 MARENGO STREET","FLORENCE","AL",35631,"205 MARENGO STREET, FLORENCE, AL, 35631, USA",-87.685065,34.795157
"BAPTIST MEDICAL CENTER SOUTH",10023,"2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL",36116,"2105 EAST SOUTH BOULEVARD, MONTGOMERY, AL, 36116, USA",-86.275195,32.327243
"JACKSON HOSPITAL & CLINIC INC",10024,"1725 PINE STREET","MONTGOMERY","AL",36106,"1725 PINE STREET, MONTGOMERY, AL, 36106, USA",-86.286013,32.366622
"EAST ALABAMA MEDICAL CENTER",10029,"2000 PEPPERELL PARKWAY","OPELIKA","AL",36801,"2000 PEPPERELL PARKWAY, OPELIKA, AL, 36801, USA",-85.404084,32.638087
"HUNTSVILLE HOSPITAL",10039,"101 SIVLEY RD","HUNTSVILLE","AL",35801,"101 SIVLEY RD, HUNTSVILLE, AL, 35801, USA",-86.581505,34.721218
"GADSDEN REGIONAL MEDICAL CENTER",10040,"1007 GOODYEAR AVENUE","GADSDEN","AL",35903,"1007 GOODYEAR AVENUE, GADSDEN, AL, 35903, USA",-85.971314,34.009359
"PRINCETON BAPTIST MEDICAL CENTER",10103,"701 PRINCETON AVENUE SOUTHWEST","BIRMINGHAM","AL",35211,"701 PRINCETON AVENUE SOUTHWEST, BIRMINGHAM, AL, 35211, USA",-86.845303,33.499575
"GRANDVIEW MEDICAL CENTER",10104,"3690 GRANDVIEW PARKWAY","BIRMINGHAM","AL",35243,"3690 GRANDVIEW PARKWAY, BIRMINGHAM, AL, 35243, USA",-86.719349,33.435811
"MOBILE INFIRMARY MEDICAL CENTER",10113,"5 MOBILE INFIRMARY CIRCLE","MOBILE","AL",36652,"5 MOBILE INFIRMARY CIRCLE, MOBILE, AL, 36652, USA",-87.831401,30.229815
"PROVIDENCE ALASKA MEDICAL CENTER",20001,"3200 PROVIDENCE DRIVE","ANCHORAGE","AK",99508,"3200 PROVIDENCE DRIVE, ANCHORAGE, AK, 99508, USA",-149.819652,61.189771
"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX",30002,"1111 EAST MCDOWELL ROAD","PHOENIX","AZ",85006,"1111 EAST MCDOWELL ROAD, PHOENIX, AZ, 85006, USA",-112.058334,33.46579
"JOHN C. LINCOLN MEDICAL CENTER",30014,"250 EAST DUNLAP AVENUE","PHOENIX","AZ",85020,"250 EAST DUNLAP AVENUE, PHOENIX, AZ, 85020, USA",-112.07062,33.567754
"MARICOPA MEDICAL CENTER",30022,"2601 EAST ROOSEVELT STREET","PHOENIX","AZ",85008,"2601 EAST ROOSEVELT STREET, PHOENIX, AZ, 85008, USA",-112.025883,33.45856
"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER",30024,"350 WEST THOMAS ROAD","PHOENIX","AZ",85013,"350 WEST THOMAS ROAD, PHOENIX, AZ, 85013, USA",-112.078679,33.480383
"CHANDLER REGIONAL MEDICAL CENTER",30036,"1955 WEST FRYE ROAD","CHANDLER","AZ",85224,"1955 WEST FRYE ROAD, CHANDLER, AZ, 85224, USA",-111.875433,33.298619
"ST LUKE'S MEDICAL CENTER",30037,"1800 EAST VAN BUREN STREET","PHOENIX","AZ",85006,"1800 EAST VAN BUREN STREET, PHOENIX, AZ, 85006, USA",-112.043372,33.451428
"SCOTTSDALE OSBORN MEDICAL CENTER",30038,"7400 EAST OSBORN ROAD","SCOTTSDALE","AZ",85251,"7400 EAST OSBORN ROAD, SCOTTSDALE, AZ, 85251, USA",-111.923906,33.487651
"BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS",30064,"1501 NORTH CAMPBELL AVENUE","TUCSON","AZ",85724,"1501 NORTH CAMPBELL AVENUE, TUCSON, AZ, 85724, USA",-110.943978,32.240653
"SCOTTSDALE SHEA MEDICAL CENTER",30087,"9003 EAST SHEA BOULEVARD","SCOTTSDALE","AZ",85260,"9003 EAST SHEA BOULEVARD, SCOTTSDALE, AZ, 85260, USA",-111.886087,33.582479
"WASHINGTON REGIONAL MEDICAL CENTER",40004,"3215 N NORTH HILLS BOULEVARD","FAYETTEVILLE","AR",72703,"3215 N NORTH HILLS BOULEVARD, FAYETTEVILLE, AR, 72703, USA",-94.155774,36.108668
"CHI-ST VINCENT INFIRMARY",40007,"TWO ST VINCENT CIRCLE","LITTLE ROCK","AR",72205,"TWO ST VINCENT CIRCLE, LITTLE ROCK, AR, 72205, USA",-92.341695,34.74864
"UAMS MEDICAL CENTER",40016,"4301 WEST MARKHAM STREET MAIL SLOT 612","LITTLE ROCK","AR",72205,"4301 WEST MARKHAM STREET MAIL SLOT 612, LITTLE ROCK, AR, 72205, USA",-92.320681,34.751564
"ST BERNARDS MEDICAL CENTER",40020,"225 E JACKSON","JONESBORO","AR",72401,"225 E JACKSON, JONESBORO, AR, 72401, USA",-90.70227,35.837417
"CHI ST. VINCENT HOSPITAL HOT SPRINGS",40026,"300 WERNER STREET","HOT SPRINGS","AR",71903,"300 WERNER STREET, HOT SPRINGS, AR, 71903, USA",-93.067508,34.466119
"SPARKS REGIONAL MEDICAL CENTER",40055,"1001 TOWSON AVENUE","FORT SMITH","AR",72902,"1001 TOWSON AVENUE, FORT SMITH, AR, 72902, USA",-94.421326,35.374477
"RIVERSIDE COMMUNITY HOSPITAL",50022,"4445 MAGNOLIA AVENUE","RIVERSIDE","CA",92501,"4445 MAGNOLIA AVENUE, RIVERSIDE, CA, 92501, USA",-117.378373,33.976249
"GROSSMONT HOSPITAL",50026,"5555 GROSSMONT CENTER DRIVE BOX 58","LA MESA","CA",91942,"5555 GROSSMONT CENTER DRIVE BOX 58, LA MESA, CA, 91942, USA",-117.021511,32.777999
"CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP",50047,"2333 BUCHANAN STREET","SAN FRANCISCO","CA",94115,"2333 BUCHANAN STREET, SAN FRANCISCO, CA, 94115, USA",-122.430914,37.791129
"ANTELOPE VALLEY HOSPITAL",50056,"1600 W AVE J","LANCASTER","CA",93534,"1600 W AVE J, LANCASTER, CA, 93534, USA",-118.158761,34.68926
"KAWEAH DELTA MEDICAL CENTER",50057,"400 W MINERAL KING AVE","VISALIA","CA",93291,"400 W MINERAL KING AVE, VISALIA, CA, 93291, USA",-119.295137,36.327356
"COMMUNITY REGIONAL MEDICAL CENTER",50060,"2823 FRESNO STREET","FRESNO","CA",93721,"2823 FRESNO STREET, FRESNO, CA, 93721, USA",-119.784025,36.741892
"SCRIPPS MERCY HOSPITAL",50077,"4077 5TH AVE","SAN DIEGO","CA",92103,"4077 5TH AVE, SAN DIEGO, CA, 92103, USA",-117.161096,32.751313
"SAINT AGNES MEDICAL CENTER",50093,"1303 E HERNDON AVE","FRESNO","CA",93710,"1303 E HERNDON AVE, FRESNO, CA, 93710, USA",-119.772066,36.837038
"REGIONAL MEDICAL CENTER OF SAN JOSE",50125,"225 N JACKSON AVENUE","SAN JOSE","CA",95116,"225 N JACKSON AVENUE, SAN JOSE, CA, 95116, USA",-121.847739,37.362757
"RIDEOUT MEMORIAL HOSPITAL",50133,"726 4TH ST","MARYSVILLE","CA",95901,"726 4TH ST, MARYSVILLE, CA, 95901, USA",-121.594949,39.138803
"ST JUDE MEDICAL CENTER",50168,"101 E VALENCIA MESA DRIVE","FULLERTON","CA",92835,"101 E VALENCIA MESA DRIVE, FULLERTON, CA, 92835, USA",-117.9284,33.893439
"HOAG MEMORIAL HOSPITAL PRESBYTERIAN",50224,"ONE HOAG DRIVE","NEWPORT BEACH","CA",92663,"ONE HOAG DRIVE, NEWPORT BEACH, CA, 92663, USA",-117.930663,33.625736
"DESERT REGIONAL MEDICAL CENTER",50243,"1150 NORTH INDIAN CANYON DRIVE","PALM SPRINGS","CA",92262,"1150 NORTH INDIAN CANYON DRIVE, PALM SPRINGS, CA, 92262, USA",-116.545514,33.838416
"PROVIDENCE HOLY CROSS MEDICAL CENTER",50278,"15031 RINALDI ST","MISSION HILLS","CA",91346,"15031 RINALDI ST, MISSION HILLS, CA, 91346, USA",-118.459519,34.279081
"MERCY MEDICAL CENTER REDDING",50280,"2175 ROSALINE AVE, CLAIRMONT HGTS","REDDING","CA",96001,"2175 ROSALINE AVE, CLAIRMONT HGTS, REDDING, CA, 96001, USA",-122.396538,40.572569
"PROVIDENCE SAINT JOHN'S HEALTH CENTER",50290,"2121 SANTA MONICA BLVD","SANTA MONICA","CA",90404,"2121 SANTA MONICA BLVD, SANTA MONICA, CA, 90404, USA",-118.478749,34.029813
"SUTTER ROSEVILLE MEDICAL CENTER",50309,"ONE MEDICAL PLAZA","ROSEVILLE","CA",95661,"ONE MEDICAL PLAZA, ROSEVILLE, CA, 95661, USA",-121.974361,38.336875
"SCRIPPS MEMORIAL HOSPITAL LA JOLLA",50324,"9888 GENESEE AVENUE","LA JOLLA","CA",92037,"9888 GENESEE AVENUE, LA JOLLA, CA, 92037, USA",-117.222421,32.884658
"LOMA LINDA UNIVERSITY MEDICAL CENTER",50327,"11234 ANDERSON ST","LOMA LINDA","CA",92354,"11234 ANDERSON ST, LOMA LINDA, CA, 92354, USA",-117.261205,34.049613
"UNIVERSITY OF CALIFORNIA IRVINE MED CENTER",50348,"101 CITY DRIVE SOUTH","ORANGE","CA",92868,"101 CITY DRIVE SOUTH, ORANGE, CA, 92868, USA",-117.894263,33.780122
"LAC+USC MEDICAL CENTER",50373,"1200 N STATE ST, ROOM C2K100","LOS ANGELES","CA",90033,"1200 N STATE ST, ROOM C2K100, LOS ANGELES, CA, 90033, USA",-118.218487,34.043104
"CITRUS VALLEY MEDICAL CENTER-IC CAMPUS",50382,"210 W  SAN BERNARDINO ROAD","COVINA","CA",91723,"210 W  SAN BERNARDINO ROAD, COVINA, CA, 91723, USA",-117.892568,34.089959
"SANTA BARBARA COTTAGE HOSPITAL",50396,"400 WEST PUEBLO","SANTA BARBARA","CA",93102,"400 WEST PUEBLO, SANTA BARBARA, CA, 93102, USA",-119.723089,34.42943
"HUNTINGTON MEMORIAL HOSPITAL",50438,"100 W  CALIFORNIA BLVD","PASADENA","CA",91109,"100 W  CALIFORNIA BLVD, PASADENA, CA, 91109, USA",-118.152944,34.135841
"EDEN MEDICAL CENTER",50488,"20103 LAKE CHABOT ROAD","CASTRO VALLEY","CA",94546,"20103 LAKE CHABOT ROAD, CASTRO VALLEY, CA, 94546, USA",-122.087377,37.69845
"MERCY SAN JUAN MEDICAL CENTER",50516,"6501 COYLE AVE","CARMICHAEL","CA",95608,"6501 COYLE AVE, CARMICHAEL, CA, 95608, USA",-121.312979,38.667927
"MEMORIAL MEDICAL CENTER",50557,"1700 COFFEE RD","MODESTO","CA",95355,"1700 COFFEE RD, MODESTO, CA, 95355, USA",-120.975605,37.668546
"FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER",50570,"17100 EUCLID STREET","FOUNTAIN VALLEY","CA",92708,"17100 EUCLID STREET, FOUNTAIN VALLEY, CA, 92708, USA",-117.9371,33.712582
"UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER",50599,"2315 STOCKTON BOULEVARD","SACRAMENTO","CA",95817,"2315 STOCKTON BOULEVARD, SACRAMENTO, CA, 95817, USA",-121.45745,38.554382
"KECK HOSPITAL OF USC",50696,"1500 SAN PABLO ST","LOS ANGELES","CA",90033,"1500 SAN PABLO ST, LOS ANGELES, CA, 90033, USA",-118.203101,34.062374
"CENTINELA HOSPITAL MEDICAL CENTER",50739,"555 EAST HARDY STREET","INGLEWOOD","CA",90301,"555 EAST HARDY STREET, INGLEWOOD, CA, 90301, USA",-118.348342,33.949166
